Tagmar,Pathfinder,D&D,descrição,INT(tagmar),AUR(tagmar),CAR(tagmar),FOR(tagmar),FIS(tagmar),AGI(tagmar),PER(tagmar),Str (Pathinder),Dex (Pathinder),Con (Pathinder),Int (Pathinder),Wis (Pathinder),Cha (Pathinder),Str (D&D),Dex (D&D),Con (D&D),Int (D&D),Wis (D&D),Cha (D&d)
Centauro,Centaur,centaur,"Os centauros são criaturas que possuem o tronco e as partes superiores iguais às de um homem ou mulher bastante fortes e o resto do corpo igual ao de um cavalo. Os centauros são isolacionistas e independentes. Esta raça costuma combater com clavas, lanças pesadas e arco composto, usando ao máximo sua velocidade e precisão com o arco.",1,0,-1,3,2,1,1,15,14,15,11,14,12,18.0,14.0,14.0,9.0,13.0,11.0
Ciclope Comum,Cyclops,cyclops,"Hoje, os ciclopes são uma raça bruta e de pouca estrutura social, uma caricatura da tribo de gigantes da qual descendem. Vivem nas regiões selvagens do sul de Tagmar, desde montanhas até as costas.",-2,0,-1,8,3,0,0,21,8,15,10,13,8,22.0,11.0,20.0,8.0,6.0,10.0
Cobra Constritora,Constrictor Snake,giant-constrictor-snake,"Ao contrário do que se diz, mesmo os maiores exemplares destas serpentes são incapazes de engolir qualquer coisa maior que um pequenino. Assim sendo, estes animais não costumam atacar criaturas maiores do que isto a não ser que se sintam ameaçados. Em combate, estas criaturas tentam se enrolar em volta de seus adversários. Para isto, precisam obter 100% de dano na EH ou dar dano na EF.",irracional,0,-1,2,0,2,1,17,17,12,1,12,2,19.0,14.0,12.0,1.0,10.0,3.0
Cobra Venenosa,Venomous Snake,giant-poisonous-snake,"Cobras são répteis escamados, carnívoros e da subordem das serpentes; seus corpos são alongados, com membros e aberturas dos ouvidos ausentes, olhos imóveis e sem pálpebras, cobertos por escamas transparentes, língua delgada, bífida e protrátil e dentes cônicos. As venenosas podem ser de espécies como: Coral, Víbora, Urutu-Cruzeiro, Cascavéis, etc.",irracional,0,-1,0,0,1,1,8,13,14,1,13,2,10.0,18.0,13.0,2.0,10.0,3.0
Cocatriz,Cockatrice,cockatrice,"As Cocatrizes são o último grupo de basiliscos. Bem menores e muito mais inteligentes. Essas criaturas são em sua fase adulta do tamanho de galos normais, às vezes ligeiramente maiores. Elas são quase depenadas, dando uma aparência grotesca, e possuem um rabo de lagarto proeminente partindo do corpo esquálido. Em algumas raras vezes não possuem patas e andam arrastando-se no corpo gordo de ave. O pescoço é ligeiramente mais comprido que o de um galo. As asas são como as de morcego e permitem ao monstro efetivamente voar, embora por muito pouco tempo.",irracional,5,-1,0,0,5,0,6,17,11,2,13,8,6.0,12.0,12.0,2.0,13.0,5.0
Coruja,Owl,owl,"Existem grandes variedades de espécies de corujas, com diversos tamanhos, algumas possuem penas na cabeça que se assemelham a orelhas de gatos, suas colorações de penas bem diversificadas que variam do amarelo, branco, bege, cinza, marrom e/ou preto e tem como função básica auxiliar na camuflagem. Uma característica em comum entre as corujas é que: Todas possuem uma penugem peculiar para voos extremamente silenciosos por esse motivo recebem menos um nível de dificuldade para Ações Furtivas durante seus voos.",irracional,0,0,-2,-1,3,4,6,17,11,2,15,6,3.0,13.0,8.0,2.0,12.0,7.0
Crocodilo,Crocodile,crocodile,"Crocodilos são grandes répteis carnívoros com corpos alongados cobertos de placas córneas. Possuem patas curtas, poderosas caudas comprimidas lateralmente, focinhos compridos, dentes ferozes e olhos protuberantes. Essas características lhes dão razoável mobilidade em terra e os tornam predadores admiráveis na água.",irracional,0,0,4,1,2,0,19,12,17,1,12,2,15.0,10.0,13.0,2.0,10.0,5.0
Diabrete,Imp,imp,"Os diabretes têm a aparência de pequenos seres de corpo pequeno, com grande narizes ou até mesmo sem este, com olhos redondos e grandes de coloração negra ou vermelha, com a cor da pele das mais variadas cores (normalmente vermelho), uma boca pequena com presas, braços terminados em garras de três dedos, com pernas terminadas em patas de bodes ou pequenos pés, e chifres dos mais variados tipos (normalmente dois pequenos na testa).",-1,1,-2,0,1,2,2,10,17,10,13,12,14,6.0,17.0,13.0,11.0,12.0,14.0
Dragão do Fogo Jovem,Young Adult Red Dragon,young-red-dragon,"São seres de grande beleza, medindo cerca de 30 metros, com asas vermelhas e douradas, olhos vermelhos e escamas de um vermelho vivo com alguns locais dourados, garras vermelhas e uma cauda descomunal. Esta beleza só se compara à sua perversidade e ganância.",3,3,-1,7,5,2,2,29,10,21,14,15,14,23.0,10.0,21.0,14.0,11.0,19.0
Dragão do Fogo Adulto,Mature Adult Red Dragon,adult-red-dragon,"São seres de grande beleza, medindo cerca de 30 metros, com asas vermelhas e douradas, olhos vermelhos e escamas de um vermelho vivo com alguns locais dourados, garras vermelhas e uma cauda descomunal. Esta beleza só se compara à sua perversidade e ganância.",6,5,1,8,5,5,4,33,10,23,16,17,16,27.0,10.0,25.0,16.0,13.0,21.0
Dragão Imperial do Fogo Ancestral,Mythic Wyrm Red Dragon,ancient-red-dragon,"Estes dragões são bastante parecidos fisicamente com os seus 'parentes' dragões do fogo, tendo cerca de 30 metros de comprimento, escamas e asas vermelhas com tons dourados e olhos vermelhos. Eles consideram as raças civilizadas quando muito como animais ou pestes, que devem ocasionalmente ter suas população reduzida para evitar desequilíbrios.",7,7,6,10,7,5,7,45,6,29,20,21,24,30.0,10.0,29.0,18.0,15.0,23.0
Dragão Imperial Dourado Jovem,Young Gold Dragon,young-gold-dragon,"Estas nobres criaturas são os seres de Tagmar que mais se aproximam dos deuses. Imortais, poderosíssimos, capazes de evocar magias que matariam seres normais, cada faceta de seus seres revela poderes inimagináveis pelo comum dos mortais. Fisicamente, eles são lagartos descomunais, com garras e presas brancas, olhos azuis ou verdes e escamas douradas que lembram uma resplandecente armadura de ouro. Sua aparência é feroz, mas contida, e cada um de seus movimentos fala de enorme poder em repouso.",6,6,5,8,6,5,6,25,12,19,16,17,16,23.0,14.0,21.0,16.0,13.0,20.0
Dragão Imperial Dourado Adulto,Young Adult Gold Dragon,adult-gold-dragon,"Estas nobres criaturas são os seres de Tagmar que mais se aproximam dos deuses. Imortais, poderosíssimos, capazes de evocar magias que matariam seres normais, cada faceta de seus seres revela poderes inimagináveis pelo comum dos mortais. Fisicamente, eles são lagartos descomunais, com garras e presas brancas, olhos azuis ou verdes e escamas douradas que lembram uma resplandecente armadura de ouro. Sua aparência é feroz, mas contida, e cada um de seus movimentos fala de enorme poder em repouso.",7,7,5,9,6,5,6,29,10,21,18,19,18,27.0,14.0,25.0,16.0,15.0,24.0
Dragão Negro,Adult Black Dragon,adult-black-dragon,"Sua aparência lembra a de um dragão do gelo, porém com uma coloração bem escura. Suas feições evidenciam sua maldade, olhos amarelos, um par adicional de asas que se projeta de suas costas e um fedor característico de enxofre, denunciando sua origem.",4,5,1,13,4,3,2,25,12,21,14,17,14,23.0,14.0,21.0,14.0,13.0,17.0
Dríade Comum,Dryad,dryad,"As Dríades, também chamadas de ninfas das árvores, de espíritos arbóreos e em alguns casos de hamadríades. São criaturas muito semelhantes às ninfas, mas em vez de habitarem um manancial de águas, habitam o interior das árvores. Elas possuem uma aparência feminina arbórea, com uma pele delicada, mas ao mesmo tempo que aparenta ser feita de casca de árvore. Em seu corpo podem haver folhas que cobrem suas partes íntimas, semelhantes às folhas de sua árvore. Seus cabelos são dourados no outono e verde escuros na primavera. Quando uma dríade morre, sua árvore morre junto, e vice-versa. Por isso, uma Dríade e sua árvore são consideradas um só ser.",3,3,1,2,1,3,3,10,19,13,14,15,18,10.0,12.0,11.0,14.0,15.0,18.0
Elefante Comum,Elephant,elephant,Elefantes são grandes herbívoros cinzentos cujas volumosas orelhas podem chegar à metade da sua altura. Possuem duas presas de marfim na mandíbula superior que atingem até 3 metros de comprimento e também uma longa tromba flexível com narinas em sua extremidade,irracional,0,0,6,4,0,1,30,10,19,2,13,7,22.0,9.0,17.0,3.0,11.0,6.0
Elemental da Água Médio,Medium Water Elemental,water-elemental,Estas criaturas têm um aspecto humanoide com o corpo sempre em transformação. As formas assumidas são normalmente belas embora sempre pouco definidas.,0,0,0,0,1,5,1,16,12,15,4,11,11,18.0,14.0,18.0,5.0,10.0,8.0
Elemental da Terra Médio,Medium Earth Elemental,earth-elemental,Estes assumem a forma de uma criatura toscamente humanoide muito larga e pesada. Apesar de seus movimentos lentos eles são combatentes temidos (e com razão!).,1,-1,0,4,4,2,0,20,8,17,4,11,11,20.0,8.0,20.0,5.0,10.0,5.0
Elemental do Ar Médio,Medium Air Elemental,air-elemental,"Os elementais do ar assumem a forma de nuvens muito densas e de formas definidas. Eles são velozes e muito ágeis, sendo mestres na arte de se ocultar e esgueirar-se sem serem percebidos.",1,4,0,0,-2,7,2,14,21,14,4,11,11,14.0,20.0,14.0,6.0,10.0,6.0
Elemental do Fogo Médio,Medium Fire Elemental,fire-elemental,"Elementais do fogo têm a aparência de uma fogueira com formas definidas (conforme o desejo do elemental, podendo parecer humanoide, um pássaro, um animal, etc.) e de movimentos graciosos. O seu tamanho é variável, podendo ser ajustado à vontade da criatura. Diz-se que o que nós vemos é apenas uma manifestação de seus espíritos, e que em seus planos de existência eles têm outras formas.",1,0,0,0,1,4,2,12,17,14,4,11,11,10.0,17.0,16.0,6.0,10.0,7.0
Esfinge Alada,Criosphinx,androsphinx,"Esfinges são criaturas construídas de forma levemente similar a criação das Estátuas Animadas, e são feitas de arenito. Sua aparência é de uma criatura com o corpo de leão e cabeça de humano (normalmente com rostos femininos). As esfinges comuns têm o tamanho de felinos de porte grande (como tigres), e as maiores são de estatura semelhante à de elefantes.",1,2,-1,3,5,5,0,23,10,17,12,12,11,22.0,10.0,20.0,16.0,18.0,23.0
Falcão Negro,Blood Hawk,blood-hawk,"Essa criatura é o terror de qualquer monstro proveniente do mundo inferior ou mesmo criaturas que desobedecem as leis de Cruine. De coloração totalmente negra, com olhos profundos de cores ouro derretidos, esse é um dos únicos seres capazes de colocar medo em uma das mais terríveis criaturas demoníacas: as Quimeras.",2,2,1,4,6,3,2,11,15,12,2,14,6,6.0,14.0,10.0,3.0,14.0,5.0
Falcão,Hawk,hawk,"Falcões fazem seus ninhos em locais altos, como cavidades nas rochas. Eles podem ser treinados, mas isto requer tempo e prática. Falcões tem excelente agilidade e soberba velocidade em voo.",irracional,0,0,-1,0,4,2,6,17,11,2,14,7,5.0,16.0,8.0,2.0,14.0,6.0
Gárgula,Gargoyle,gargoyle,"Gárgulas são seres artificiais criados para guardar um certo lugar. Eles não devem ser confundidos com os gárgulas normais, que são estátuas que adornam igrejas, templos e outros locais. Sua aparência é de estátuas de aspecto diabólico, com chifres, garras e cauda, variando bastante de um para o outro, exatamente como os gárgulas normais. De fato, muitas vezes os gárgulas são colocados junto a estátuas normais, para assustar e/ou confundir eventuais intrusos. Como gárgulas não são seres vivos, eles não precisam respirar, comer ou beber, podendo ficar imóveis indefinidamente, de modo que a simples observação não é o bastante para diferenciá-los de estátuas normais. Feitiços que detectem a presença de magia acusarão uma fraca aura mágica em tomo desta criatura.",irracional,-1,-1,5,1,0,0,15,14,16,6,11,7,15.0,11.0,16.0,6.0,11.0,7.0
Gato,Cat,cat,"Gatos são considerados valiosos por magos e rastreadores como companheiros e ajudantes. Não só eles possuem uma grande variedade de Habilidades, como também são muito inteligentes, sendo capazes de aprender truques complexos, tal como abrir portas ou apanhar objetos.",irracional,0,1,-1,0,4,4,3,15,8,2,12,7,3.0,15.0,10.0,3.0,12.0,7.0
Gênios Dijins,Djinni,djinni,"Djins são criaturas mágicas com poderes para fazer o bem e o mal, sua origem é desconhecida. Um Djim apresenta-se como uma enorme criatura alada constituída de ar, porém possui a capacidade de assumir qualquer forma. Vive no subsolo e costuma frequentar ruínas. Armas comuns nada podem contra eles, todavia, sendo suscetíveis à magia, podem se tornar vítimas ou escravos de humanos que dominam as técnicas apropriadas. Os Djins vivem numa sociedade organizada nos moldes tribais, com reis, tribos e clãs. Geralmente, eles casam-se entre si, mas podem também casar-se com seres humanos. Na maioria das histórias, pessoas afortunadas encontram Djins que foram presos por magos em lâmpadas mágicas e forçados a conceder desejos.",2,3,0,0,0,6,2,18,19,14,14,15,15,21.0,15.0,22.0,15.0,16.0,20.0
Gênios Ifrites,Ifrit,efreeti,"Pouco se conhece sobre estas exóticas criaturas e seus mundos de origem. Um Ifrite apresenta-se como uma enorme criatura alada constituída de fogo, que vive no subsolo e costuma frequentar ruínas. Armas comuns nada podem contra eles, todavia, sendo suscetíveis à magia, podem se tornar vítimas ou escravos de humanos que dominam as técnicas apropriadas. Os Ifrites vivem numa sociedade organizada nos moldes tribais, com reis, tribos e clãs. Geralmente, eles casam-se entre si, mas podem também casar-se com seres humanos. Na maioria das histórias, pessoas afortunadas encontram Ifrites que foram presos por magos em lâmpadas mágicas e forçados a conceder desejos.",1,4,0,0,0,5,3,10,16,12,13,6,17,22.0,12.0,24.0,16.0,15.0,16.0
Gigante de Duas Cabeças,Two-headed Troll,giant-two-headed-goat,"Os gigantes de duas cabeças, agora aberrações, possuem uma aparência assustadora com calombos e cicatrizes. Com duas mentes independentes, exibem comportamento imprevisível, sendo alertas e observadores. Sua visão noturna, habilidades de caça e construção de armadilhas os tornam predadores formidáveis.",-3,0,-2,6,4,1,6,22,11,19,9,10,6,17.0,11.0,12.0,3.0,12.0,6.0
Gigante do Fogo Comum,Fire Giant,fire-giant,"Os Gigantes do Fogo são os mais organizados e temidos da espécie. Eles se dedicam à pilhagem e caça de escravos em comunidades vizinhas de outras raças. Além da caça, sustentam-se de criações mantidas por escravos, recorrendo à antropofagia, se necessário. Algumas vezes, um Gigante do Fogo mais inteligente consegue unificar tribos, formando “pequenos reinos’, constituindo exército de até 100 guerreiros. Eles iniciam então um reinado de terror e pilhagens que normalmente não tem longa duração, terminando após a morte do líder. Os gigantes comuns usam cotas de malha parcial e espadas, já o líder usa couraça parcial e montante.",-2,0,-1,7,4,1,1,31,9,21,10,14,10,25.0,9.0,23.0,10.0,14.0,13.0
Gigante do Gelo Comum,Frost Giant,frost-giant,"Os Gigantes do Gelo vivem em grandes complexos de cavernas bem camufladas. mas em geral não as modificam, confiando em suas capacidades de combate para se defenderem. Em combate, os Gigantes do Gelo usam grandes machados de guerra e lanças e sempre procurarão o combate corpo-a-corpo. Se não for possível, lançarão grandes rochas, com precisão a até 50 metros. Eles se vestem com peles que têm a resistência e absorção de uma armadura de couro rígido.",-3,0,-1,7,3,0,0,29,9,21,10,14,11,23.0,9.0,21.0,9.0,10.0,12.0
Goblin Comum,Goblin,goblin,"Estas pequenas criaturas têm a pele esverdeada, fisionomia magra onde se ressalta a cabeça desproporcionalmente grande, com orelhas pontudas, boca pequena, nariz absurdamente empinado e enormes olhos. Suas mãos pequenas, porém fortes, são hábeis e sua agilidade é prodigiosa. Os Goblins são mestres do subterfúgio. Em suas florestas, eles sabem se esconder de forma primorosa. Seus passos leves mal fazem barulho e eles estão sempre alerta.",-1,0,-1,0,0,2,-1,11,15,12,10,9,6,8.0,14.0,10.0,10.0,8.0,8.0
Gorila Comum,Dire Ape,ape,"São indivíduos de braços longos e poderosos, pernas curtas e maciças. Podem usar os pés com tanta habilidade quanto usam suas mãos. Possuem tórax maciço e cabeça grande munida de maxilar protuberante e de forte mordida; os dentes de um gorila podem facilmente arrancar um braço ou uma perna de um inimigo, contudo muito raramente atacam com mordidas, salvo em casos de grande necessidade, se seus braços e pernas estiverem inutilizados, por exemplo. Preferem atacar com uma corrida curta na direção do seu oponente para bater nele com seus pesados punhos como se fossem maças de guerra, usando a força do golpe de carga.",0,0,1,6,3,3,2,19,15,16,2,12,7,16.0,14.0,14.0,6.0,12.0,7.0
Grifo,Griffon,griffon,"Grifos são seres provavelmente criados por magia, que se apresentam sob a forma de um animal cuja metade dianteira é a de uma águia e a traseira de um leão e dotadas ainda de um par de asas de grande envergadura. Carnívoros extremamente ferozes, costumam se unir e caçar em grupos de 6 a 15 membros.",irracional,0,-1,3,3,2,2,16,15,16,5,13,8,18.0,15.0,16.0,2.0,13.0,8.0
Harpia,Harpy,harpy,"Estas criaturas provavelmente são produtos de alguma maldição ou experiência mística. Harpias são seres que possuem o corpo de um gigantesco abutre preso ao torso de uma mulher de aparência horrível. A disposição das harpias espelha a sua aparência, todas sendo cruéis, sádicas e perversas ao extremo. Alimentam-se exclusivamente de carne, mas têm preferência por carne que implora para não ser devorada. Preparação para as refeições envolve torturar a comida, não temperá-la.",-1,0,0,0,0,1,0,12,15,10,7,12,17,12.0,13.0,12.0,7.0,10.0,13.0
Hidra (5 cabeças),Hydra,hydra,"As hidras são criaturas reptilianas possuidoras de várias cabeças, suas cabeças se assemelham a de serpentes, são ligadas a seus troncos por um longo pescoço, quanto mais cabeças uma hidra possui maior e mais velha ela será, suas escamas fortes e resistentes variam entre as cores azuis, verdes ou negras. Estas também possuem uma longa e poderosa cauda. Sendo criaturas solitárias, costumam viver em pântanos e ilhas desertas, se alimentando de carne, algumas vezes devastando a população de animais maiores da região.",irracional,0,-3,4,3,3,2,17,12,18,2,11,9,20.0,12.0,20.0,2.0,10.0,7.0
Hipocampus Comum,Hippocampus,sea-horse,"Essas criaturas assemelham-se a grandes cavalos cobertos de escamas, com a porção posterior do corpo substituída por uma grande e forte cauda semelhante à de um golfinho. Suas escamas são grossas e longas de forma a propiciar uma proteção extra, possuem dois sistemas respiratórios distintos; o que lhes permite respirar dentro e fora d'água. Em combate usam sua cauda, mordida ou cascos tanto para se defender, quanto para atacar. A origem de seus poderes é desconhecida, mas os sacerdotes de Ganis contam que os primeiros Hipocampus surgiram no início do Cataclisma, na forma de uma benção para proteger os cavalos consagrados a Ganis da ira dos deuses.",irracional,0,1,4,2,1,1,16,9,15,2,12,11,1.0,12.0,8.0,1.0,10.0,2.0
Hipogrifo,Hippogriff,hippogriff,"Provavelmente produto de alguma experiência mística, hipogrifos são criaturas quadrúpedes cuja parte dianteira é igual à de uma águia e a parte traseira é igual à de um cavalo, dispondo também de um par de asas de grande envergadura. São extremamente raros, costumando viver apenas em regiões distantes e isoladas. Assim como os grifos, hipogrifos são carnívoros ferozes, alimentando-se predominantemente de criaturas de grande porte, como cervos e touros, mas não dispensando animais menores se houver a chance de apanhá-los.",irracional,0,-1,2,2,3,2,15,15,14,2,12,9,17.0,13.0,13.0,2.0,12.0,8.0
Ieti Comum,Yeti,yeti,"Os Ietis são criaturas que, à primeira vista, parecem com gorilas por seu tipo físico peculiar. Possuem grandes quantidades de pelos distribuídos de forma uniforme por todo seu corpo, o que lhes concede uma proteção natural contra o severo frio. Ietis são criaturas de tamanha inteligência e astúcia, possuem uma linguagem própria, dispensando o som gutural da voz.",0,-1,-1,5,2,1,2,19,12,15,9,12,10,18.0,13.0,16.0,8.0,12.0,7.0
Jaguatirica,Leopard,panther,"Assim como os demais felinos, a Jaguatirica é um carnívoro e seu organismo não é capaz de ficar longos períodos sem comida. Por isso, ela não escolhe muito a caça, desde que seja de carne viva e possa ser vencida em combate. Apesar de seu pouco tamanho, é muito feroz, costumando atacar e vencer animais de maior porte.",irracional,0,0,0,1,5,2,16,19,15,2,13,6,14.0,15.0,10.0,3.0,14.0,7.0
Javali,Boar,boar,"Javalis são animais com cerca de 1 a 1,5 metros de comprimento. São parentes distantes dos porcos, porém possuem 4 longos caninos curvos saindo pelas laterais da boca, utilizados para ataque e defesa. Com olfato e audição extremamente aguçados, apresentam ainda uma grossa camada de gordura sob a pele que os protege até de picadas de serpentes venenosas.",irracional,0,-1,2,3,2,1,17,10,17,2,13,4,13.0,11.0,12.0,2.0,9.0,5.0
Kraken,Kraken,kraken,"Krakens são carnívoros vorazes que permeiam as lendas dos mares de Tagmar. Esses monstruosos cefalópodes apresentam um corpo cônico extremamente flexível, semelhante ao das Lulas. Em uma de suas extremidades abaixo dos olhos bilaterais, possuem uma boca constituída por vários dentes córneos extremamente fortes rodeados por uma coroa de aproximadamente 10 enormes tentáculos completamente invertebrados com poderosas ventosas.",irracional,0,1,6,6,2,1,30,10,29,21,20,21,30.0,11.0,25.0,22.0,18.0,20.0
Lagarto Gigante,Giant Forest Lizard,giant-lizard,"Essas criaturas são normalmente encontradas no deserto de Blirga, na poderosa região habitada pelos nômades Corenians. Tais répteis têm grossas escamas amareladas ou amarronzadas, que se confundem com o ambiente da região, ajudando-os a se esconderem. Seu corpo é alongado, possuindo três pares de patas. A cabeça é grande com um par de chifres apontados para frente. Apesar de sua aparência assustadora eles dificilmente atacam viajantes.",irracional,0,0,3,3,3,3,23,15,19,2,12,10,15.0,12.0,13.0,2.0,10.0,5.0
Leão,Lion,lion,"É um dos maiores felinos de que se tem notícia. Vivem em grupos com 1 macho e cerca de 4 fêmeas e suas respectivas ninhadas. Em geral, as fêmeas são quem trazem a caça enquanto o macho toma conta dos filhotes. São os únicos felinos que se conhece que caçam em grupo (as fêmeas). Os filhotes machos são obrigados pelo pai a deixarem o grupo quando completam o primeiro ano de vida.",irracional,0,-1,5,1,4,1,21,17,15,2,12,6,17.0,15.0,13.0,3.0,12.0,8.0
Licantropo Javali,Wereboar,wereboar,Esses Tessaldarianos assumem uma forma totalmente animal.,1,1,-2,4,3,0,2,19,13,18,10,14,8,17.0,10.0,15.0,10.0,11.0,8.0
Licantropo Leão e Tigre,Weretiger,weretiger,Estes seres são como irmãos; leões e tigres tessaldarianos respeitam-se e costumam se ajudar. São os mais raros dentre os animais-totens.,1,1,-2,6,3,2,2,13,16,12,10,16,8,17.0,15.0,16.0,10.0,13.0,11.0
Licantropo Rato,Wererat,wererat,Essas criaturas assumem a forma de um híbrido entre um rato gigantesco e um ser humano com dentes e garras pontiagudas.,2,1,-2,2,3,1,2,13,15,14,10,16,6,10.0,15.0,12.0,11.0,10.0,8.0
Licantropo Urso,Werebear,werebear,"O totem do Urso provavelmente é o mais poderoso dentre os tessaldarianos, porém o menos ativo. Mesmo em sua forma humana, os licantropos Ursos são grandes e fortes (normalmente um pouco gordos, além de muito peludos).",2,1,-2,6,3,0,2,16,14,13,12,12,8,19.0,10.0,17.0,11.0,12.0,12.0
Lobisomem,Werewolf,werewolf,"Os Treldorcais são os Licantropos que aceitaram de corpo e alma os Arcondi, se divertindo com a destruição que causaram e considerando-se satisfeitos com a riqueza que pilhavam (riquezas, posições no alto escalão em relação aos Humanos e outros Tessaldarianos). Eles são considerados traidores. Após a derrota fugiram para as terras habitadas pelos Humanos.",1,1,0,2,3,2,2,17,13,14,8,14,8,15.0,13.0,14.0,10.0,11.0,10.0
